# IBL IS TURB X S THETA DSTAR HK UE CF RT AMPL
  36 2 F  0.419151E+00  0.300000E-01  0.428454E-03  0.123134E-02  0.287392E+01  0.113130E+01  0.556758E-03  0.484710E+03  0.301450E+01
  37 2 F  0.438496E+00  0.300000E-01  0.443046E-03  0.128726E-02  0.290548E+01  0.112630E+01  0.511234E-03  0.499005E+03  0.333263E+01
  38 2 F  0.457965E+00  0.300000E-01  0.457710E-03  0.134534E-02  0.293929E+01  0.112128E+01  0.467405E-03  0.513223E+03  0.367122E+01
  39 2 F  0.477531E+00  0.300000E-01  0.472473E-03  0.140642E-02  0.297672E+01  0.111624E+01  0.424164E-03  0.527391E+03  0.403175E+01
  40 2 F  0.497162E+00  0.300000E-01  0.487318E-03  0.147083E-02  0.301822E+01  0.111118E+01  0.381465E-03  0.541496E+03  0.441616E+01
  41 2 F  0.516829E+00  0.300000E-01  0.502244E-03  0.153939E-02  0.306502E+01  0.110611E+01  0.338774E-03  0.555540E+03  0.482669E+01
  42 2 F  0.536502E+00  0.300000E-01  0.517237E-03  0.161291E-02  0.311832E+01  0.110107E+01  0.295844E-03  0.569511E+03  0.526601E+01
  43 2 F  0.556149E+00  0.300000E-01  0.532341E-03  0.169404E-02  0.318225E+01  0.109602E+01  0.250974E-03  0.583454E+03  0.573812E+01
  44 2 F  0.575742E+00  0.300000E-01  0.547518E-03  0.178493E-02  0.326004E+01  0.109099E+01  0.203898E-03  0.597338E+03  0.624853E+01
  45 2 F  0.595249E+00  0.300000E-01  0.562824E-03  0.189297E-02  0.336333E+01  0.108598E+01  0.151383E-03  0.611215E+03  0.680603E+01
  46 2 F  0.614640E+00  0.300000E-01  0.578283E-03  0.203602E-02  0.352081E+01  0.108098E+01  0.874650E-04  0.625115E+03  0.742835E+01
  47 2 F  0.633886E+00  0.300000E-01  0.593321E-03  0.268136E-02  0.451924E+01  0.107633E+01 -0.901548E-04  0.638608E+03  0.829911E+01
  48 2 F  0.652956E+00  0.579169E-01  0.638723E-03  0.231531E-02  0.362490E+01  0.106323E+01  0.495267E-04  0.679112E+03  0.919511E+01
  49 2 T  0.671822E+00  0.682661E-01  0.815797E-03  0.203949E-02  0.250000E+01  0.101384E+01  0.710118E-03  0.827091E+03  0.919511E+01
  50 2 T  0.690453E+00  0.579980E-01  0.693320E-03  0.112824E-02  0.162730E+01  0.106111E+01  0.323745E-02  0.735685E+03  0.919511E+01
  51 2 T  0.708821E+00  0.522528E-01  0.738327E-03  0.110094E-02  0.149113E+01  0.105612E+01  0.398043E-02  0.779765E+03  0.919511E+01
  52 2 T  0.726897E+00  0.485178E-01  0.788069E-03  0.113299E-02  0.143767E+01  0.105114E+01  0.426492E-02  0.828369E+03  0.919511E+01
  53 2 T  0.744653E+00  0.460333E-01  0.839674E-03  0.118898E-02  0.141600E+01  0.104609E+01  0.433862E-02  0.878375E+03  0.919511E+01
  54 2 T  0.762062E+00  0.443150E-01  0.891699E-03  0.125558E-02  0.140807E+01  0.104102E+01  0.431926E-02  0.928277E+03  0.919511E+01
  55 2 T  0.779097E+00  0.430921E-01  0.943684E-03  0.132747E-02  0.140669E+01  0.103589E+01  0.425871E-02  0.977550E+03  0.919511E+01
  56 2 T  0.795731E+00  0.422066E-01  0.995480E-03  0.140224E-02  0.140861E+01  0.103066E+01  0.418088E-02  0.102600E+04  0.919511E+01
  57 2 T  0.811938E+00  0.415594E-01  0.104700E-02  0.147855E-02  0.141218E+01  0.102536E+01  0.409739E-02  0.107355E+04  0.919511E+01
  58 2 T  0.827693E+00  0.410869E-01  0.109830E-02  0.155588E-02  0.141662E+01  0.101995E+01  0.401350E-02  0.112021E+04  0.919511E+01
  59 2 T  0.842971E+00  0.407474E-01  0.114961E-02  0.163424E-02  0.142156E+01  0.101440E+01  0.393111E-02  0.116617E+04  0.919511E+01
  60 2 T  0.857749E+00  0.405104E-01  0.120101E-02  0.171357E-02  0.142678E+01  0.100871E+01  0.385127E-02  0.121146E+04  0.919511E+01
  61 2 T  0.872004E+00  0.403554E-01  0.125269E-02  0.179414E-02  0.143223E+01  0.100285E+01  0.377386E-02  0.125626E+04  0.919511E+01
  62 2 T  0.885713E+00  0.402678E-01  0.130493E-02  0.187640E-02  0.143793E+01  0.996787E+00  0.369829E-02  0.130074E+04  0.919511E+01
  63 2 T  0.898855E+00  0.402375E-01  0.135797E-02  0.196083E-02  0.144394E+01  0.990501E+00  0.362383E-02  0.134507E+04  0.919511E+01
  64 2 T  0.911409E+00  0.402561E-01  0.141195E-02  0.204778E-02  0.145032E+01  0.983992E+00  0.355003E-02  0.138935E+04  0.919511E+01
  65 2 T  0.923356E+00  0.403214E-01  0.146753E-02  0.213864E-02  0.145730E+01  0.977168E+00  0.347504E-02  0.143403E+04  0.919511E+01
  66 2 T  0.934676E+00  0.404290E-01  0.152488E-02  0.223389E-02  0.146496E+01  0.970044E+00  0.339845E-02  0.147920E+04  0.919511E+01
  67 2 T  0.945353E+00  0.405778E-01  0.158448E-02  0.233476E-02  0.147351E+01  0.962577E+00  0.331902E-02  0.152519E+04  0.919511E+01
  68 2 T  0.955368E+00  0.407703E-01  0.164719E-02  0.244328E-02  0.148330E+01  0.954679E+00  0.323476E-02  0.157254E+04  0.919511E+01
  69 2 T  0.964707E+00  0.410074E-01  0.171367E-02  0.256126E-02  0.149460E+01  0.946315E+00  0.314439E-02  0.162167E+04  0.919511E+01
  70 2 T  0.973355E+00  0.412936E-01  0.178501E-02  0.269161E-02  0.150790E+01  0.937402E+00  0.304575E-02  0.167327E+04  0.919511E+01
  71 2 T  0.981297E+00  0.416333E-01  0.186242E-02  0.283785E-02  0.152374E+01  0.927869E+00  0.293668E-02  0.172808E+04  0.919511E+01
  72 2 T  0.988522E+00  0.420360E-01  0.194800E-02  0.300593E-02  0.154308E+01  0.917561E+00  0.281348E-02  0.178741E+04  0.919511E+01
  73 2 T  0.995018E+00  0.425128E-01  0.204438E-02  0.320390E-02  0.156718E+01  0.906319E+00  0.267193E-02  0.185286E+04  0.919511E+01
  74 2 T  0.100077E+01  0.430816E-01  0.215578E-02  0.344529E-02  0.159817E+01  0.893881E+00  0.250539E-02  0.192701E+04  0.919511E+01
  75 2 T  0.100578E+01  0.437622E-01  0.228765E-02  0.374988E-02  0.163919E+01  0.879994E+00  0.230618E-02  0.201311E+04  0.919511E+01
  76 2 T  0.101003E+01  0.445974E-01  0.245133E-02  0.416012E-02  0.169709E+01  0.864032E+00  0.205789E-02  0.211802E+04  0.919511E+01
  77 2 T  0.101352E+01  0.456464E-01  0.266526E-02  0.475932E-02  0.178568E+01  0.845215E+00  0.173619E-02  0.225272E+04  0.919511E+01
  78 2 T  0.101624E+01  0.470324E-01  0.297160E-02  0.578329E-02  0.194619E+01  0.821915E+00  0.128573E-02  0.244240E+04  0.919511E+01
  79 2 T  0.101818E+01  0.490260E-01  0.349002E-02  0.851602E-02  0.244011E+01  0.791041E+00  0.516505E-03  0.276075E+04  0.919511E+01
  80 2 T  0.101935E+01  0.492973E-01  0.353425E-02  0.883562E-02  0.250000E+01  0.788829E+00  0.460509E-03  0.278792E+04  0.919511E+01
